season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,25,Djibril_SidibÃÂ©_511,2,8,0.8937532420417955,1.0,1,54,2.0,2873.0,1,model_budget,511,Djibril,Sidibé,Djibril Sidibé,Everton,everton,89.38,0.0
2019-20,25,Djibril_SidibÃÂ©_511,2,8,0.8937532420417955,1.0,1,54,2.0,2873.0,1,model_dream,511,Djibril,Sidibé,Djibril Sidibé,Everton,everton,89.38,0.0
2019-20,19,Djibril_SidibÃÂ©_511,2,8,0.3205653382234309,0.5197325713574465,0,53,2.0,55792.0,1,transfer_dream,511,Djibril,Sidibé,Djibril Sidibé,Everton,everton,32.06,0.0
2019-20,21,Djibril_SidibÃÂ©_511,2,8,0.29928458448527684,0.41375021352950186,0,53,6.0,71684.0,0,transfer_dream,511,Djibril,Sidibé,Djibril Sidibé,Everton,everton,29.93,0.0
2019-20,36,Jarrad_Branthwaite_637,2,8,0.10821423124330272,0.14754091043941187,0,40,8.0,1140.0,0,model_budget,637,Jarrad,Branthwaite,Jarrad Branthwaite,Everton,everton,10.82,0.0
2019-20,2,Michael_Keane_143,2,8,0.7428765810352718,0.793273724918384,1,55,1.0,46539.0,0,model_dream,143,Michael,Keane,Michael Keane,Everton,everton,74.29,0.0
2019-20,2,Mathew_Ryan_47,1,4,0.4073521864839432,0.4349871763024699,0,45,1.0,89567.0,17,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,40.74,0.0
2019-20,10,Mathew_Ryan_47,1,4,0.3214914582485604,0.40537331155000245,0,47,6.0,39224.0,18,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,32.15,0.0
2019-20,21,Mathew_Ryan_47,1,4,0.2708254746768139,0.3744065140190102,0,48,3.0,77478.0,31,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,27.08,0.0
2019-20,23,Mathew_Ryan_47,1,4,0.18491972813908786,0.1955445181217984,0,49,1.0,15132.0,67,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,18.49,0.0
2019-20,25,Mathew_Ryan_47,1,4,0.34785819551538943,0.38921055516475783,0,49,2.0,4521.0,47,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,34.79,0.0
2019-20,36,Mathew_Ryan_47,1,4,0.4405235790355577,0.6006164732141632,0,47,7.0,8012.0,80,model_budget,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,44.05,0.0
2019-20,8,Mathew_Ryan_47,1,4,0.1750079414930406,0.29950770480351907,0,46,3.0,157047.0,0,transfer_dream,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,17.5,0.0
2019-20,14,Mathew_Ryan_47,1,4,0.12979708323537587,0.17434003297666092,0,47,3.0,43281.0,0,transfer_dream,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,12.98,0.0
2019-20,15,Mathew_Ryan_47,1,4,0.2452438672882371,0.3284482880891993,0,48,2.0,41877.0,0,transfer_dream,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,24.52,0.0
2019-20,21,Mathew_Ryan_47,1,4,0.2708254746768139,0.3744065140190102,0,48,3.0,77478.0,0,transfer_dream,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,27.08,0.0
2019-20,22,Mathew_Ryan_47,1,4,0.371392860676549,0.5349795615793907,0,48,2.0,94836.0,1,transfer_dream,47,Mathew,Ryan,Mathew Ryan,Brighton & Hove Albion,brighton&hovealbion,37.14,0.0
2019-20,2,Lewis_Dunk_42,2,4,0.33792315366802456,0.3608480408317967,0,45,1.0,156187.0,0,model_budget,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,33.79,0.0
2019-20,21,Lewis_Dunk_42,2,4,0.4490794497693748,0.6208362470567899,0,47,2.0,101697.0,1,model_budget,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,44.91,0.0
2019-20,21,Lewis_Dunk_42,2,4,0.4490794497693748,0.6208362470567899,0,47,2.0,101697.0,0,model_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,44.91,0.0
2019-20,8,Lewis_Dunk_42,2,4,0.157279213627905,0.26916684971618515,0,46,1.0,128766.0,1,transfer_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,15.73,0.0
2019-20,15,Lewis_Dunk_42,2,4,0.1432005564616765,0.19178452102934326,0,46,0.0,84800.0,0,transfer_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,14.32,0.0
2019-20,21,Lewis_Dunk_42,2,4,0.4490794497693748,0.6208362470567899,0,47,2.0,101697.0,1,transfer_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,44.91,0.0
2019-20,22,Lewis_Dunk_42,2,4,0.4921453903394562,0.7089197263445008,0,48,1.0,99922.0,1,transfer_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,49.21,0.0
2019-20,32,Lewis_Dunk_42,2,4,0.041551316826371504,0.08972334562218585,0,47,8.0,49861.0,1,transfer_dream,42,Lewis,Dunk,Lewis Dunk,Brighton & Hove Albion,brighton&hovealbion,4.16,0.0
2019-20,9,Adam_Webster_493,2,4,0.2506848191410931,0.4114407826105298,0,44,-1.0,6033.0,0,model_budget,493,Adam,Webster,Adam Webster,Brighton & Hove Albion,brighton&hovealbion,25.07,0.0
2019-20,29,Adam_Webster_493,2,4,0.2983649308478143,0.3499590823468234,0,44,2.0,5444.0,1,model_budget,493,Adam,Webster,Adam Webster,Brighton & Hove Albion,brighton&hovealbion,29.84,0.0
2019-20,9,Aaron_Connolly_534,4,4,0.49000993371009827,0.5710926651954651,-1,45,8.0,42593.0,0,model_budget,534,Aaron,Connolly,Aaron Connolly,Brighton & Hove Albion,brighton&hovealbion,49.0,0.0
2019-20,32,Aaron_Connolly_534,4,4,0.3676385283470154,0.39457643032073975,-1,42,2.0,36267.0,0,model_budget,534,Aaron,Connolly,Aaron Connolly,Brighton & Hove Albion,brighton&hovealbion,36.76,0.0
2019-20,11,Leandro_Trossard_421,3,4,0.49906325340270996,0.5786733627319336,-1,58,1.0,10489.0,0,model_budget,421,Leandro,Trossard,Leandro Trossard,Brighton & Hove Albion,brighton&hovealbion,49.91,0.0
2019-20,20,Leandro_Trossard_421,3,4,0.45254307985305786,0.5362470149993896,-1,58,2.0,3166.0,1,model_budget,421,Leandro,Trossard,Leandro Trossard,Brighton & Hove Albion,brighton&hovealbion,45.25,0.0
2019-20,34,Leandro_Trossard_421,3,4,0.5342549681663513,0.5640662908554077,-1,58,2.0,5430.0,1,model_budget,421,Leandro,Trossard,Leandro Trossard,Brighton & Hove Albion,brighton&hovealbion,53.43,0.0
2019-20,20,Aaron_Mooy_516,3,4,0.4507707357406616,0.5341468453407288,-1,48,2.0,31047.0,1,model_budget,516,Aaron,Mooy,Aaron Mooy,Brighton & Hove Albion,brighton&hovealbion,45.08,0.0
2019-20,24,Aaron_Mooy_516,3,4,0.4722183048725128,0.5594728589057922,-1,48,2.0,17562.0,1,model_budget,516,Aaron,Mooy,Aaron Mooy,Brighton & Hove Albion,brighton&hovealbion,47.22,0.0
2019-20,27,Neal_Maupay_502,4,4,0.6216903924942017,0.6619039177894592,1,58,2.0,22873.0,0,model_budget,502,Neal,Maupay,Neal Maupay,Brighton & Hove Albion,brighton&hovealbion,62.17,0.0
2019-20,29,Neal_Maupay_502,4,4,0.6229544878005981,0.7663305997848511,1,58,9.0,20352.0,1,model_dream,502,Neal,Maupay,Neal Maupay,Brighton & Hove Albion,brighton&hovealbion,62.3,0.0
2019-20,34,Tariq_Lamptey_586,2,4,0.06055007738294237,0.08756351460971121,0,40,1.0,34356.0,0,model_budget,586,Tariq,Lamptey,Tariq Lamptey,Brighton & Hove Albion,brighton&hovealbion,6.06,0.0
2019-20,36,Tariq_Lamptey_586,2,4,0.5498434245535373,0.7496647947843152,1,40,6.0,10033.0,0,model_dream,586,Tariq,Lamptey,Tariq Lamptey,Brighton & Hove Albion,brighton&hovealbion,54.98,0.0
