season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,24,Dean_Henderson_471,1,15,0.31983913905020145,0.4303651690904252,0,49,10.0,234504.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,31.98,0.0
2019-20,24,Dean_Henderson_471,1,15,0.31983913905020145,0.4303651690904252,0,49,10.0,234504.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,31.98,0.0
2019-20,25,Dean_Henderson_471,1,15,0.4127600284705335,0.4674700615654913,0,50,2.0,178084.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,41.28,0.0
2019-20,25,Dean_Henderson_471,1,15,0.4127600284705335,0.4674700615654913,0,50,2.0,178084.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,41.28,0.0
2019-20,26,Dean_Henderson_471,1,15,0.3956422553998008,0.4311537761739057,0,51,2.0,91716.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,39.56,0.0
2019-20,26,Dean_Henderson_471,1,15,0.3956422553998008,0.4311537761739057,0,51,2.0,91716.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,39.56,0.0
2019-20,29,Dean_Henderson_471,1,15,0.3123828500557422,0.40888768132886416,0,52,11.0,388101.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,31.24,0.0
2019-20,29,Dean_Henderson_471,1,15,0.3123828500557422,0.40888768132886416,0,52,11.0,388101.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,31.24,0.0
2019-20,30,Dean_Henderson_471,1,15,0.11219669773056463,0.129969593565123,0,53,2.0,388101.0,1.0,transfer_budget,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,11.22,0.0
2019-20,30,Dean_Henderson_471,1,15,0.11219669773056463,0.129969593565123,0,53,2.0,388101.0,1.0,transfer_dream,471,Henderson,Dean,Henderson,Dean Henderson,Sheffield United,sheffieldunited,11.22,0.0
2019-20,3,Oliver_McBurnie_501,4,15,0.4227974116802216,0.4524254500865936,-1,60,1.0,1894.0,0.0,model_budget,501,McBurnie,Oliver,McBurnie,Oliver McBurnie,Sheffield United,sheffieldunited,42.28,0.0
2019-20,27,Oliver_McBurnie_501,4,15,0.7758407592773438,0.8618077039718628,1,57,2.0,2058.0,1.0,model_budget,501,McBurnie,Oliver,McBurnie,Oliver McBurnie,Sheffield United,sheffieldunited,77.58,0.0
2019-20,27,Oliver_McBurnie_501,4,15,0.7758407592773438,0.8618077039718628,1,57,2.0,2058.0,1.0,model_dream,501,McBurnie,Oliver,McBurnie,Oliver McBurnie,Sheffield United,sheffieldunited,77.58,0.0
2019-20,3,Callum_Robinson_453,3,15,0.42347708344459534,0.4531527757644653,-1,54,11.0,506.0,0.0,model_dream,453,Callum Robinson,Callum,Robinson,Callum Robinson,Sheffield United,sheffieldunited,42.35,0.0
2019-20,4,John_Egan_295,2,15,0.08535606138705908,0.10195012685965923,0,45,2.0,738.0,0.0,model_budget,295,Egan,John,Egan,John Egan,Sheffield United,sheffieldunited,8.54,0.0
2019-20,6,John_Egan_295,2,15,0.09860057572084943,0.10707986917109164,0,45,2.0,834.0,0.0,model_dream,295,Egan,John,Egan,John Egan,Sheffield United,sheffieldunited,9.86,0.0
2019-20,9,John_Egan_295,2,15,0.5239003782646239,0.8023220952071967,1,45,2.0,4399.0,1.0,model_budget,295,Egan,John,Egan,John Egan,Sheffield United,sheffieldunited,52.39,0.0
2019-20,9,John_Egan_295,2,15,0.5239003782646239,0.8023220952071967,1,45,2.0,4399.0,1.0,model_dream,295,Egan,John,Egan,John Egan,Sheffield United,sheffieldunited,52.39,0.0
2019-20,10,John_Egan_295,2,15,0.14574134079656473,0.2164931337646944,0,45,6.0,5280.0,0.0,model_budget,295,Egan,John,Egan,John Egan,Sheffield United,sheffieldunited,14.57,0.0
