season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,type,captain,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,was_home,winning_goals,yellow_cards,opponent_team_strength,opponent_team_weakness,team_weakness,team_strength,opponent_weakness_nextgw,opponent_strength_nextgw,is_home_nextgw,transfers_in,transfers_out,transfers_out_nextgw,totalpoints_prevgw,bps_prevgw,ict_prevgw,opponent_strength_prevgw,opponent_weakness_prevgw,goals_scored_prevgw,matchday,assists_prevgw,key_passes_prevgw,bonus_prevgw,bps_prevgw.1,matchday_nextgw,opponent_team_away_strength_nextgw,opponent_team_home_strength_nextgw,opponent_team_away_weakness_nextgw,opponent_team_home_weakness_nextgw,opponent_team_away_strength_prevgw,opponent_team_home_strength_prevgw,opponent_team_away_weakness_prevgw,opponent_team_home_weakness_prevgw,team_home_strength,team_home_weakness,team_away_strength,team_away_weakness,opponent_team_home_strength,opponent_team_home_weakness,opponent_team_away_strength,opponent_team_away_weakness,hit,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability
2019-20,5,Jamaal_Lascelles_258,2,13,0.6958922304477614,0.9595744784807875,1.0,45,6.0,14711.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,Lascelles,Jamaal,Lascelles,Jamaal Lascelles,Newcastle United,newcastleunited,69.59
2019-20,31,Jamaal_Lascelles_258,2,13,0.2668585337471646,0.3793193167483181,0.0,43,2.0,24909.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,Lascelles,Jamaal,Lascelles,Jamaal Lascelles,Newcastle United,newcastleunited,26.69
2019-20,8,Jamaal_Lascelles_258,2,13,0.26452914972537284,0.3819174330713392,0.0,44,2.0,6696.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,Lascelles,Jamaal,Lascelles,Jamaal Lascelles,Newcastle United,newcastleunited,26.45
2019-20,5,Jamaal_Lascelles_258,2,13,0.6958922304477614,0.9595744784807875,1.0,45,6.0,14711.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,Lascelles,Jamaal,Lascelles,Jamaal Lascelles,Newcastle United,newcastleunited,69.59
2019-20,16,Federico_FernÃÂ¡ndez_254,2,13,0.6726700220205114,0.7560953277653611,1.0,44,2.0,16724.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,67.27
2019-20,30,Federico_FernÃÂ¡ndez_254,2,13,0.584435641557165,0.7796903419945272,1.0,46,1.0,39797.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,58.44
2019-20,29,Federico_FernÃÂ¡ndez_254,2,13,0.3891521525938431,0.8207854214743474,0.0,45,6.0,94395.0,0,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,38.92
2019-20,24,Federico_FernÃÂ¡ndez_254,2,13,0.3664016050994528,0.5474313113905224,0.0,44,9.0,21589.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,36.64
2019-20,16,Federico_FernÃÂ¡ndez_254,2,13,0.6726700220205114,0.7560953277653611,1.0,44,2.0,16724.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,67.27
2019-20,30,Federico_FernÃÂ¡ndez_254,2,13,0.584435641557165,0.7796903419945272,1.0,46,1.0,39797.0,0,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,58.44
2019-20,29,Federico_FernÃÂ¡ndez_254,2,13,0.3891521525938431,0.8207854214743474,0.0,45,6.0,94395.0,1,model_dream,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,38.92
2019-20,25,Federico_FernÃÂ¡ndez_254,2,13,,,,44,1.0,56339.0,0,transfer_dream,0.0,0.0,0.0,0.0,0.0,3.0,34.0,1.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,4.5,33.0,0.0,90.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71282.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,True,0.0,0.0,1.0,1.9583333333333333,1.72,1.6,2.08,1.48,False,21589.0,5969.0,8066.0,1.0,9.0,3.7,1.173913043478261,1.5217391304347827,0.0,5.0,0.0,0.0,0.0,9.0,6.0,0.88,0.6,0.88,1.2,0.6086956521739131,0.5652173913043478,1.0,0.5217391304347826,0.76,0.44,0.84,1.28,0.75,1.0416666666666667,0.25,0.9166666666666666,0.0,254,Fernández,Federico,Fernández,Federico Fernández,Newcastle United,newcastleunited,
2019-20,5,Jetro_Willems_498,2,13,0.6415741622766966,0.8846746166102273,1.0,45,6.0,10756.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,Willems,Jetro,Willems,Jetro Willems,Newcastle United,newcastleunited,64.16
2019-20,11,Jetro_Willems_498,2,13,0.4748461050312085,0.741855217854853,0.0,45,2.0,61161.0,1,model_budget,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,Willems,Jetro,Willems,Jetro Willems,Newcastle United,newcastleunited,47.48
