season,round,name,element_type,team,pred,pred_norm,yhat,value,total_points_nextgw,transfers_in_nextgw,starting,player_id,web_name,first_name,second_name,full_name,team_name,jersey_code,probability,captain
2019-20,6,Anwar_El Ghazi_30,3,2,0.42398601770401,0.4670282006263733,-1,55,7.0,4499.0,0.0,30,El Ghazi,Anwar,El Ghazi,Anwar El Ghazi,Aston Villa,astonvilla,42.4,0.0
2019-20,7,Anwar_El Ghazi_30,3,2,0.4286570549011231,0.4782265424728394,-1,55,9.0,17035.0,1.0,30,El Ghazi,Anwar,El Ghazi,Anwar El Ghazi,Aston Villa,astonvilla,42.87,0.0
2019-20,7,Tyrone_Mings_445,2,2,0.13323231597418084,0.15292392868655058,0,46,2.0,6532.0,0.0,445,Mings,Tyrone,Mings,Tyrone Mings,Aston Villa,astonvilla,13.32,0.0
2019-20,10,Mahmoud Ahmed_Ibrahim Hassan_465,3,2,0.3535541892051697,0.4213225841522217,-1,53,7.0,1779.0,0.0,465,Trézéguet,Mahmoud Ahmed,Ibrahim Hassan,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,astonvilla,35.36,0.0
2019-20,13,Matt_Targett_309,2,2,0.15073669061431502,0.21047229377019985,0,44,7.0,3571.0,0.0,309,Targett,Matt,Targett,Matt Targett,Aston Villa,astonvilla,15.07,0.0
2019-20,17,Jack_Grealish_29,3,2,0.8245114088058472,0.9609330296516418,1,61,8.0,270921.0,1.0,29,Grealish,Jack,Grealish,Jack Grealish,Aston Villa,astonvilla,82.45,0.0
2019-20,18,Jack_Grealish_29,3,2,0.6832379102706909,0.8473148941993713,1,62,6.0,269691.0,1.0,29,Grealish,Jack,Grealish,Jack Grealish,Aston Villa,astonvilla,68.32,0.0
2019-20,2,Rodrigo_Hernandez_443,3,11,0.3776258230209351,0.40457528829574585,-1,55,1.0,12341.0,0.0,443,Rodrigo,Rodrigo,Hernandez,Rodrigo Hernandez,Manchester City,manchestercity,37.76,0.0
2019-20,3,Raheem_Sterling_214,3,11,0.9345128536224364,1.0,1,122,3.0,285573.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,93.45,1.0
2019-20,8,Raheem_Sterling_214,3,11,0.8088408708572388,1.0,1,121,5.0,96344.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,80.88,1.0
2019-20,9,Raheem_Sterling_214,3,11,0.9052155017852784,1.0,1,121,11.0,70951.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,90.52,1.0
2019-20,10,Raheem_Sterling_214,3,11,0.8391531705856323,1.0,1,121,1.0,135057.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,83.92,1.0
2019-20,12,Raheem_Sterling_214,3,11,0.8685215711593628,1.0,1,121,2.0,31784.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,86.85,1.0
2019-20,13,Raheem_Sterling_214,3,11,0.8177034854888916,0.9208753108978271,1,120,7.0,12861.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,81.77,0.0
2019-20,14,Raheem_Sterling_214,3,11,0.8640533089637756,0.9678711891174316,1,120,3.0,18968.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,86.41,0.0
2019-20,15,Raheem_Sterling_214,3,11,0.8936989903450012,1.0,1,119,2.0,11439.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,89.37,1.0
2019-20,16,Raheem_Sterling_214,3,11,0.93451327085495,1.0,1,119,10.0,7427.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,93.45,1.0
2019-20,17,Raheem_Sterling_214,3,11,0.8580321073532104,1.0,1,118,5.0,146472.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,85.8,1.0
2019-20,18,Raheem_Sterling_214,3,11,0.782253623008728,0.9701088666915894,1,118,10.0,49727.0,1.0,214,Sterling,Raheem,Sterling,Raheem Sterling,Manchester City,manchestercity,78.23,0.0
2019-20,3,Kevin_De Bruyne_215,3,11,0.8574838638305664,0.917573094367981,1,96,13.0,373295.0,1.0,215,De Bruyne,Kevin,De Bruyne,Kevin De Bruyne,Manchester City,manchestercity,85.75,0.0
